,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Protected Method,br.....config.WebSecurityConfig.configure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,,,,0,,,,19,,,1,17,3,,,,16,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.16,1,1,1,1
,,Package,br.....controller,0,0,0,0,0,0,0,0,,,,,7,0,0,,7,,31,0,,,,31,,31,0,0,0,,351,,,,50,,,,208,,,201,0,93,,,,,,,88,95,95,,,0,,,,,,,,0,0,0,0,,,0,,,,0.45,0,0,0,0
,,Public Interface,br.....controller.ComportamentoController,0,0,0,0,0,0,0,0,0,13,13,1,,0,0,,,,10,0,,,,10,10,10,0,0,0,,145,,,,12,,,,40,,,39,0,93,,,,,,,10,11,11,,,0,,,,,,,,0,0,0,0,,0,0,,0,0,2.33,0,0,0,0
,,Abstract Method,br.....controller.ComportamentoController.consolidarComportamentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,0,,,,1,,,1,0,8,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,8.00,0,0,0,0
,,Abstract Method,br.....controller.ComportamentoController.delete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,0,,,,1,,,1,0,9,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,9.00,0,0,0,0
,,Abstract Method,br.....controller.ComportamentoController.desconsolidarComportamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,0,,,,2,,,2,0,7,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,3.50,0,0,0,0
,,Abstract Method,br.....controller.ComportamentoController.findByCategoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,0,,,,2,,,2,0,7,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,3.50,0,0,0,0
,,Abstract Method,br.....controller.ComportamentoController.findById,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,0,,,,1,,,1,0,7,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,7.00,0,0,0,0
,,Abstract Method,br.....controller.ComportamentoController.findByMapeamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,0,,,,3,,,3,0,10,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,3.33,0,0,0,0
,,Abstract Method,br.....controller.ComportamentoController.getStatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,,,,0,,,,1,,,1,0,21,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,21.00,0,0,0,0
